MiniDOT Logger Concatenated Data File
Sensor:             7450-539875
Concatenation Date: 2026Mar16 14:22:04 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 186.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1770245460,           2026-02-04 22:51:00,           2026-02-04 16:51:00,      3.530000,      7.249000,         12.204000,                   103.445354,      0.968000
                1770246060,           2026-02-04 23:01:00,           2026-02-04 17:01:00,      3.530000,      6.536000,         12.532000,                   104.352009,      0.968000
                1770246660,           2026-02-04 23:11:00,           2026-02-04 17:11:00,      3.530000,      6.361000,         12.628000,                   104.689385,      0.968000
                1770247260,           2026-02-04 23:21:00,           2026-02-04 17:21:00,      3.520000,      6.283000,         12.663000,                   104.773231,      0.968000
                1770247860,           2026-02-04 23:31:00,           2026-02-04 17:31:00,      3.520000,      6.254000,         12.654000,                   104.622142,      0.967000
                1770248460,           2026-02-04 23:41:00,           2026-02-04 17:41:00,      3.520000,      6.244000,         12.640000,                   104.480002,      0.967000
                1770249060,           2026-02-04 23:51:00,           2026-02-04 17:51:00,      3.520000,      6.244000,         12.630000,                   104.397344,      0.968000
                1770249660,           2026-02-05 00:01:00,           2026-02-04 18:01:00,      3.520000,      6.235000,         12.623000,                   104.315766,      0.968000
                1770250260,           2026-02-05 00:11:00,           2026-02-04 18:11:00,      3.520000,      6.225000,         12.587000,                   103.991989,      0.967000
                1770250860,           2026-02-05 00:21:00,           2026-02-04 18:21:00,      3.520000,      6.215000,         12.570000,                   103.825300,      0.967000
                1770251460,           2026-02-05 00:31:00,           2026-02-04 18:31:00,      3.520000,      6.205000,         12.541000,                   103.559591,      0.967000
                1770252060,           2026-02-05 00:41:00,           2026-02-04 18:41:00,      3.520000,      6.225000,         12.509000,                   103.347564,      0.967000
                1770252660,           2026-02-05 00:51:00,           2026-02-04 18:51:00,      3.520000,      6.215000,         12.496000,                   103.214077,      0.966000
                1770253260,           2026-02-05 01:01:00,           2026-02-04 19:01:00,      3.520000,      6.195000,         12.496000,                   103.161916,      0.967000
                1770253860,           2026-02-05 01:11:00,           2026-02-04 19:11:00,      3.520000,      6.205000,         12.469000,                   102.965038,      0.967000
                1770254460,           2026-02-05 01:21:00,           2026-02-04 19:21:00,      3.520000,      6.225000,         12.439000,                   102.769234,      0.967000
                1770255060,           2026-02-05 01:31:00,           2026-02-04 19:31:00,      3.520000,      6.195000,         12.436000,                   102.666580,      0.967000
